search_term,tipo_gasto,grupo,categoria,subcategoria
0001 CAPRICHO A TOA SE,Need to check,Need to check,Need to check,Need to check
01166380ADRIANA,Need to check,Need to check,Need to check,Need to check
1A99,Need to check,Need to check,Need to check,Need to check
22535406CARLA,Need to check,Need to check,Need to check,Need to check
27 447 202 WEVERTON AI,Essencial,Custo de vida,Saude & Bem-estar,Barbeiro
28544394GABRIELA,Need to check,Need to check,Need to check,Need to check
2L-COMERCIO DE PRODUTO,Need to check,Need to check,Need to check,Need to check
3752 DROGASIL,Essencial,Custo de vida,Saúde & Bem-estar,Medicamento
3753 DROGASIL,Essencial,Custo de vida,Saúde & Bem-estar,Medicamento
3753DROGASIL,Essencial,Custo de vida,Saúde & Bem-estar,Medicamento
3845 - GRSA AMIGO,Need to check,Need to check,Need to check,Need to check
40228499DANIEL,Need to check,Need to check,Need to check,Need to check
4033   SAMS BAURU,Essencial,Custo de vida,Alimento - Mercado,Mercado
4033 - SAMS BAURU,Essencial,Custo de vida,Alimento - Mercado,Mercado
430 GRADI BAURU,Variável,Custo de vida,Alimentação,Restaurante
48023442LARISSA,Need to check,Need to check,Need to check,Need to check
48961851 PAULO ROBERTO,Need to check,Need to check,Need to check,Need to check
50740645LUIZ,Need to check,Need to check,Need to check,Need to check
52610131KARINA,Need to check,Need to check,Need to check,Need to check
53040690LAURENI,Need to check,Need to check,Need to check,Need to check
54906168JOICE,Need to check,Need to check,Need to check,Need to check
56928169DANIEL,Need to check,Need to check,Need to check,Need to check
58395595YASMIN,Need to check,Need to check,Need to check,Need to check
59761555ROSANGELA,Need to check,Need to check,Need to check,Need to check
60821770EDINEIA,Need to check,Need to check,Need to check,Need to check
9049  GRSA BOBS BARRA,Variável,Lazer,Alimentação,Bar
99* 99INAPPPAYMENTCAPT,Need to check,Need to check,Need to check,Need to check
99APP       *99APP,Need to check,Need to check,Need to check,Need to check
99* POP 10ABR 16H34MIN,Need to check,Need to check,Need to check,Need to check
AAI     AAI IPIRANGA,Essencial,Custo de vida,Transporte,Abastecimento
ABASTEC AAI IPIRANGA,Essencial,Custo de vida,Transporte,Abastecimento
ABASTEC ABASTECE AI,Essencial,Custo de vida,Transporte,Abastecimento
ABASTEC*ABASTECE AI,Essencial,Custo de vida,Transporte,Abastecimento
ABASTECEAI   IPIRANGA,Essencial,Custo de vida,Transporte,Abastecimento
ABUELITA SALGADOS,Variável,Custo de vida,Alimento - externo,Restaurante
ACADEMIA CROSS M 8 LT,Variável,Custo de vida,Bem-estar,Crossfit
